,ccd,qid,rcid,field
255014.0,1,4,3,232
255014.0,4,3,14,233
255014.0,9,3,34,1227
255015.0,12,4,47,133
255016.0,1,3,2,1323
255016.0,10,4,39,281
255017.0,7,4,27,281
255017.0,15,3,58,1274
255018.0,7,4,27,1227
255018.0,15,3,58,187
255019.0,1,3,2,590
255019.0,10,4,39,1586
255020.0,5,3,18,232
255021.0,10,1,36,1058
255022.0,4,4,15,187
255022.0,9,3,34,1184
255023.0,8,1,28,1227
255023.0,13,1,48,186
255023.0,16,2,61,187
255024.0,6,2,21,1274
255024.0,15,4,59,233
255025.0,3,4,11,332
255026.0,1,4,3,232
255026.0,4,3,14,233
255026.0,9,3,34,1227
255027.0,2,3,6,332
255027.0,11,4,43,1324
255028.0,8,4,31,144
255028.0,15,3,58,1142
255029.0,11,1,40,282
255030.0,6,2,21,1274
255030.0,15,1,56,233
255031.0,5,3,18,281
255031.0,14,4,55,1274
